,Made Donation in March 2007
659,0.46236149122579334
276,0.0902037785722777
263,0.38117498081058165
303,0.2943934399226238
83,0.5071174336820821
500,0.7113795858028497
530,0.40615168343462227
244,0.15242950064108515
249,0.016614810404123142
728,0.07831221152289278
129,0.19045485235608972
534,0.14143198878763652
317,0.2591538438291171
401,0.38117498081058165
696,0.34555187696270295
192,0.20646946643757855
176,0.24192491388188114
571,0.40961188390412123
139,0.049624862076239985
423,0.35419607829261013
563,0.453928359955559
56,0.3495982410347497
528,0.3949663870927048
101,0.38117498081058165
467,0.3111030305473165
382,0.2747980500397463
466,0.41941743260170294
294,0.15242950064108515
512,0.37038861474569923
659,0.46236149122579334
389,0.29554995350627866
487,0.027155381503828846
701,0.4406948680215084
419,0.26786116325742587
536,0.23737368035957265
240,0.249492995209644
508,0.27618513101572184
515,0.15242950064108515
283,0.3841739153494648
650,0.38117498081058165
65,0.4560564365750623
228,0.13671865324277946
741,0.056171209291295536
297,0.4181641129811981
464,0.13376856065075882
63,0.4406948680215084
231,0.4053239991561565
28,0.12421056103187046
248,0.15242950064108515
357,0.16869876931227745
300,0.4880300436523814
726,0.556060918481539
680,0.1689396092435917
520,0.3305027293291416
254,0.04573177124226096
582,0.1845207792272926
143,0.2303937822340101
98,0.44649729295903295
1,0.3483111787370819
221,0.4769766410912728
352,0.38117498081058165
64,0.13989748093126778
138,0.22107090630877965
745,0.3642854846207697
64,0.13989748093126778
688,0.10994827638107009
623,0.12157396470315944
289,0.1276007759800963
174,0.3180038449665277
690,0.38117498081058165
105,0.1918069608966711
427,0.14223745145007696
48,0.009282205306242923
14,0.38117498081058165
657,0.042019614268091025
301,0.1363432034905692
455,0.14133922490285242
579,0.2665169099382997
722,0.11819910459228683
98,0.44649729295903295
491,0.009282205306242923
303,0.2943934399226238
466,0.41941743260170294
65,0.4560564365750623
300,0.4880300436523814
9,0.07060405401632408
622,0.20646946643757855
323,0.11204774428054885
289,0.1276007759800963
568,0.3929374877662307
290,0.38117498081058165
156,0.19762964643722966
464,0.13376856065075882
426,0.13502664135041312
306,0.19374382778092764
4,0.2770289395196335
12,0.3845800625200199
187,0.23236471930698266
406,0.04910964867017811
96,0.40615168343462227
509,0.4406948680215084
733,0.13907342389922508
548,0.06501049703197709
478,0.2628951465526559
501,0.20618839813987086
127,0.47107438814920716
199,0.155209200941409
299,0.4264516968021704
162,0.38117498081058165
235,0.13482630426186518
23,0.2415157126703787
473,0.38117498081058165
487,0.027155381503828846
683,0.4347404844613622
303,0.2943934399226238
309,0.04123925180065719
569,0.05605847640439498
34,0.40921717859399925
686,0.5895322967130843
84,0.3588210246486085
733,0.13907342389922508
537,0.4712029941907766
181,0.17921108166718971
453,0.7325354513858553
67,0.4109177019119773
161,0.413577756487643
307,0.2984167468544277
703,0.22414496229966557
181,0.17921108166718971
246,0.16644912333690018
316,0.39361338083565317
278,0.20646946643757855
346,0.2275649138507799
545,0.38117498081058165
419,0.26786116325742587
694,0.40615168343462227
622,0.20646946643757855
663,0.07446884925809247
262,0.5937187333388546
461,0.24424150336984002
373,0.8347832709544565
233,0.38117498081058165
466,0.41941743260170294
207,0.2303937822340101
263,0.38117498081058165
16,0.05605847640439498
513,0.05367418037847136
449,0.3356100859290832
429,0.030944582133089406
701,0.4406948680215084
632,0.0522370149192322
529,0.5432563915328794
245,0.27346935287332036
344,0.12464076782019744
353,0.13986764261548595
241,0.2729394661666539
633,0.12326228596890562
624,0.4406948680215084
726,0.556060918481539
189,0.20646946643757855
138,0.22107090630877965
402,0.15242950064108515
511,0.40963219046770843
590,0.3984997472416255
334,0.2510837898325324
447,0.07756037569046803
119,0.41941743260170294
389,0.29554995350627866
644,0.38117498081058165
423,0.35419607829261013
131,0.05605847640439498
405,0.007271084846448548
82,0.38117498081058165
643,0.8705434352986684
156,0.19762964643722966
617,0.06123671404999828
574,0.45563069034786535
272,0.25621511374006856
613,0.107742125977578
545,0.38117498081058165
685,0.15242950064108515
570,0.19849007993209766
537,0.4712029941907766
691,0.12326228596890562
85,0.4209633716697356
483,0.16644912333690018
455,0.14133922490285242
93,0.20646946643757855
744,0.4406948680215084
33,0.16644912333690018
321,0.6613166360551128
523,0.2794916435594954
426,0.13502664135041312
196,0.12673348076527743
301,0.1363432034905692
103,0.12326228596890562
224,0.0747901925301006
454,0.07041290889639665
585,0.05596772220715235
154,0.3286065859429153
